Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,Capitalización
ACCIONA,"139,6000","-0,85","141,2000","139,6000",10.265,"1.438,26",09/04/2021,11:05:15,7.723.817
ACERINOX,"11,3750","0,75","11,3900","11,2350",193.498,"2.191,20",09/04/2021,11:06:40,3.054.467
ACS,"27,6600","-0,61","27,9800","27,5800",60.361,"1.675,43",09/04/2021,11:07:12,8.645.796
AENA,"139,7000","-0,14","140,4000","139,3000",46.748,"6.535,75",09/04/2021,11:06:03,20.985.000
ALMIRALL,"12,5200","-0,71","12,6400","12,5000",65.252,"819,47",09/04/2021,11:04:45,2.246.038
AMADEUS,"59,9200","-0,93","60,4200","59,6200",66.774,"4.003,07",09/04/2021,11:06:55,27.246.192
ARCELORMIT.,"24,3350","-0,16","24,4550","24,1400",70.374,"1.706,79",09/04/2021,11:06:29,26.880.988
B.SANTANDER,"2,9005","-0,74","2,9410","2,8945",4.763.887,"13.898,64",09/04/2021,11:07:14,50.669.354
BA.SABADELL,"0,4563","-0,96","0,4644","0,4541",8.520.713,"3.895,88",09/04/2021,11:07:07,2.592.343
BANKINTER,"5,8640","-0,20","5,8960","5,8320",244.158,"1.430,76",09/04/2021,11:06:31,5.281.738
BBVA,"4,4655","-1,61","4,5620","4,4560",2.527.427,"11.342,49",09/04/2021,11:07:14,30.262.203
CAIXABANK,"2,5630","-0,62","2,5930","2,5560",1.301.130,"3.345,01",09/04/2021,11:06:47,20.788.409
CELLNEX,"42,1900","0,45","42,3200","41,7200",566.196,"23.781,10",09/04/2021,11:06:57,20.441.764
CIE AUTOMOT.,"21,9600","-1,88","22,3800","21,9000",58.969,"1.297,44",09/04/2021,11:06:05,2.742.669
ENAGAS,"18,5400","-0,62","18,6950","18,4900",150.423,"2.794,74",09/04/2021,11:05:11,4.887.425
ENDESA,"22,8000","-0,70","23,0000","22,7500",80.263,"1.835,21",09/04/2021,11:06:25,24.308.949
FERROVIAL,"22,3100","-0,40","22,4300","22,0700",79.275,"1.765,98",09/04/2021,11:01:01,16.417.013
FLUIDRA,"25,6500","2,19","25,8500","25,1000",150.671,"3.824,69",09/04/2021,11:05:12,4.910.290
GRIFOLS CL.A,"23,3900","0,00","23,5100","23,1700",107.682,"2.517,09",09/04/2021,11:06:12,9.967.176
IAG,"2,4850","0,08","2,4990","2,4560",2.447.024,"6.071,38",09/04/2021,11:07:09,12.344.175
IBERDROLA,"11,5400","0,04","11,5900","11,4650",1.256.236,"14.484,78",09/04/2021,11:07:13,74.033.429
INDITEX,"27,7000","-0,75","27,7800","27,5700",301.296,"8.334,16",09/04/2021,11:07:15,86.985.757
INDRA A,"7,4950","0,60","7,5100","7,3950",361.524,"2.692,36",09/04/2021,11:06:25,1.316.075
INM.COLONIAL,"8,2100","-0,55","8,2650","8,1650",48.198,"396,53",09/04/2021,11:07:08,4.194.488
MAPFRE,"1,7815","-0,72","1,7990","1,7770",1.131.967,"2.018,83",09/04/2021,11:07:10,5.526.258
MELIA HOTELS,"6,5320","-0,27","6,5960","6,5000",165.609,"1.084,35",09/04/2021,11:06:06,1.443.620
MERLIN,"8,9980","-0,88","9,0720","8,9320",89.712,"808,71",09/04/2021,11:07:09,4.264.579
NATURGY,"20,8600","-0,76","21,0200","20,8100",37.844,"790,33",09/04/2021,11:06:11,20.381.282
